Model,Dataset,IR,Source,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,GMean_mean,GMean_std,AUC_mean,AUC_std,MCC_mean,MCC_std,AUPRC_mean,AUPRC_std,IBA_mean,IBA_std,Kappa_mean,Kappa_std,Runtime_mean,Runtime_std,Error
adaboost_ad,poker-8-9_vs_5,-,keel,0.7272289156626506,0.1009681685250632,0.5088403812728458,0.005168859527922083,0.6248780487804878,0.05656012893906628,0.44271717794894244,0.042287618230469295,0.6099810210751812,0.06105761194855196,0.6305853658536585,0.08003428771466671,0.06604326364860572,0.034007900916519035,0.022977607852317172,0.005546036695026436,0.6427447947650208,0.05756534050088674,0.026361735820344755,0.017294500710557485,0.13543406939134,0.006124474260628142,
SPE,poker-8-9_vs_6,-,keel,0.3784511784511785,0.024148715255274227,0.5060645643547741,0.008091853832257023,0.5856164383561644,0.11352458208456087,0.2906775603421779,0.016031025634657147,0.539284627639945,0.08755136250326051,0.7187671232876712,0.18207283170282706,0.04556883453234456,0.06060989398505254,0.30414498435715065,0.1401552584691808,0.6429577312816663,0.14883865428189647,0.009146879983587852,0.011994977970879596,30.13948338760529,3.7349681776975463,
DeepSMOTE,poker-8-9_vs_6,-,keel,0.9878787878787879,0.005039269207776377,0.7939233992007753,0.2468656797682873,0.64,0.14966629547095767,0.6763050009621926,0.17217732655552687,0.4074683743473835,0.3381856352755105,0.9543150684931507,0.0686312306805917,0.39326252055928385,0.35134657387750373,0.7678268314350788,0.241076955159738,0.792,0.0607947366142827,0.35680753610915406,0.3408738225753735,2.0405801528133454,0.3052888102334347,
DBCF,poker-8-9_vs_6,-,keel,0.9932659932659933,0.0042589598116746005,0.9966078323221179,0.0021367037581716997,0.8,0.1264911064067352,0.8566291704395068,0.10842313403256083,0.7542007206448816,0.1765821989293973,0.9889041095890411,0.02052235849868768,0.7520108151729715,0.17745482166034643,0.8595501792114696,0.22213667913600338,0.8559999999999999,0.07838367176906169,0.7139960626511866,0.21578215793233818,11.08208914900897,2.542046848822676,
DEAHS,poker-8-9_vs_6,-,keel,0.6895622895622895,0.05329658973039562,0.5210215470912131,0.00959331848227325,0.7634931506849316,0.09759098703573944,0.44979109609922246,0.032541432715861164,0.7581227097984465,0.09387012689603115,0.8669178082191781,0.11328394421657478,0.14864133341027144,0.06104264825838653,0.5538848432064724,0.232229502933787,0.7723772987427285,0.10430534044691393,0.05740594034169215,0.029639135474088932,253.38734423600835,34.32805373981175,
s_smote,poker-8-9_vs_6,-,keel,0.9373737373737374,0.037104315997187616,0.6584830533450322,0.17027188388057307,0.7519178082191781,0.10661605201994918,0.6153250838559661,0.05437881823338001,0.7055671090642799,0.15957044162234807,0.7491780821917808,0.1417244941380774,0.32106101228141337,0.11086926186998816,0.4988192517033232,0.1543286389512925,0.8053775098517546,0.05750679207086762,0.24602045396511257,0.09798459289165674,3.1304052016232164,1.2290197431742345,
scut,poker-8-9_vs_6,-,keel,0.9925925925925926,0.003926566932555774,0.9962688335306075,0.0019643736124196538,0.78,0.11661903789690603,0.8413794456210837,0.10679576230022,0.7286240357549898,0.1706077797760447,0.9245890410958906,0.0925115056772922,0.726233930722632,0.17123580613680134,0.7859915197116008,0.26275369998537923,0.842,0.061122827159744555,0.6836083322214528,0.2124953767132193,2.9647589251864703,0.02259472773713844,
mdo,poker-8-9_vs_6,-,keel,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.13051749519072472,0.030613220385604278,
smom,poker-8-9_vs_6,-,keel,0.98989898989899,0.003011539363636116,0.9949198039270678,0.0015005805288432978,0.7000000000000001,0.0894427190999916,0.7712553124813484,0.09411585254172575,0.6152152123033117,0.14666370563500405,0.933972602739726,0.08140646517762168,0.6123019255689075,0.14683003262367225,0.8042425542425544,0.22910824255023893,0.798,0.035999999999999976,0.5440028026480419,0.18695398457958887,11.468596016813535,3.166162813843197,
soup,poker-8-9_vs_6,-,keel,0.9872053872053872,0.0025196346038882118,0.8935798973087108,0.20100009372337488,0.6199999999999999,0.07483314773547882,0.6777207937923928,0.105606515506476,0.43819220633379025,0.21951671988330404,0.9517123287671232,0.054201846094921714,0.4293652170457297,0.2300810958469307,0.6560710698148255,0.1862738173163009,0.7699999999999999,0.016733200530681527,0.35873470761519377,0.20850033113404895,7.826784729794599,0.21142855123387574,
