Model,Dataset,IR,Source,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,GMean_mean,GMean_std,AUC_mean,AUC_std,MCC_mean,MCC_std,AUPRC_mean,AUPRC_std,IBA_mean,IBA_std,Kappa_mean,Kappa_std,Runtime_mean,Runtime_std,Error
pt_bagging,yeast-2_vs_8,-,keel,0.9751073883161512,0.0050608958643784,0.9310612331012544,0.0709377180936956,0.7478377746610565,0.0773645528565625,0.7990415792002803,0.0609382344517516,0.6957628607108781,0.1149275339316138,0.836082865825152,0.0756422357049807,0.6384522762906604,0.094766302970429,0.561720357525562,0.138388473787793,0.8157900895095667,0.0382102444634148,0.5998145614988306,0.1200256143176648,0.0208694196073338,0.001220357321108,
evinci,yeast-2_vs_8,-,keel,0.9792310996563574,0.0066225078131595,0.9654583962218218,0.0480607908521787,0.7739130434782608,0.092397697988493,0.8286825264882864,0.0772154195525324,0.7283089700633114,0.1339238938453849,0.8235185834502102,0.0728792509680214,0.6983493638631968,0.1190097102534878,0.546619459639526,0.1457497924832498,0.8330222117202268,0.0475128952290331,0.6590512027202047,0.1523766854944323,4.164096790808253,0.1900106395579383,
multirandbal,yeast-2_vs_8,-,keel,0.952233676975945,0.0182515155161702,0.7380108139893438,0.0568071220608567,0.7837540906965872,0.1193606480853573,0.7373790870269727,0.0592623328631386,0.7421267925970916,0.1594991209132703,0.8568577606358112,0.1166010387891835,0.5014634118648956,0.1199389702844259,0.5737849022306891,0.1928608898838611,0.8360793838290252,0.0767538677545813,0.4775899130508986,0.1173222478671011,0.042621842212975,0.0025683692303117,
dpse,yeast-2_vs_8,-,keel,0.9750859106529208,0.008376839351005,0.9143833682263012,0.1014202522926598,0.7478260869565216,0.0791017626028706,0.8018929107855131,0.0747440536904287,0.6959802823584973,0.1159203757960962,0.8143904862085087,0.1007213273197518,0.6344973526033919,0.1507460200945288,0.5343662711101309,0.1082361858837729,0.8155009451795842,0.0405546755888281,0.6050093277440027,0.1487840577770185,0.0198475110111758,0.0024619634553817,
oremboost,yeast-2_vs_8,-,keel,0.9750859106529208,0.0051738438065686,0.9494050182739991,0.0774762136635548,0.7478260869565216,0.0756665403650309,0.8002201159378328,0.0541320793797199,0.6955761409279768,0.1136352172811142,0.8620500233754089,0.1307366711639976,0.6491558621831389,0.0804379533722058,0.64528552071235,0.1908977456068647,0.8160562381852552,0.0355371763086031,0.6023892870038943,0.1063113034118252,1.863341116392985,0.6352722513298117,
e_evrs,yeast-2_vs_8,-,keel,0.94194587628866,0.013939582560153,0.6751263070740718,0.0609852047227712,0.7305516596540439,0.1084610378748271,0.6866238755662339,0.0680503960342648,0.6736665419063874,0.1585049981819564,0.7143115942028986,0.1177050640319679,0.3917339460906208,0.1419310872886543,0.2155903289150712,0.1085327595467923,0.7970707396814344,0.0567403728754022,0.3753991855898517,0.1363483858077468,0.5946783295599744,0.0516413152963093,
adaboost_ad,yeast-2_vs_8,-,keel,0.7757302405498281,0.0507028723339824,0.5582233067356906,0.0231312849715096,0.7634057971014492,0.1134608537482152,0.5443673382572658,0.0420164069611743,0.7539742520196299,0.1161911653213479,0.7815684899485741,0.1370296226961049,0.2471568957031321,0.1014873964189049,0.1313237427038914,0.046635546431391,0.7770900138755292,0.1122070373842661,0.1613650611018461,0.0644109114190493,0.0569867982063442,0.0071197224627074,
SPE,yeast1,-,keel,0.7358426608426608,0.0184837678131787,0.7072309323905884,0.0221351958228672,0.7449492677044365,0.0288983677423232,0.7107033734327144,0.0221390718058513,0.7438180527876669,0.0284026151679946,0.8172205185391693,0.0228950440437462,0.4505868774555813,0.0505760301502135,0.6487595812327631,0.0401067288926677,0.7466617906147657,0.0297519024534899,0.4319929881119632,0.0452397085772067,23.149458878207952,25.577067774054584,
DeepSMOTE,yeast1,-,keel,0.781015106015106,0.0173620262210983,0.7395587466834572,0.0240966139514219,0.6924981036170668,0.0302712129448692,0.7061930934058817,0.0297960999746147,0.6581251344982141,0.0428947583500114,0.8038671300108271,0.0252251216560188,0.4290643582157547,0.0533056624616213,0.632527696567141,0.0351219114883675,0.737999420511256,0.0169389145171191,0.418303401088396,0.0565430571184928,3.328973055211827,0.7272972024150506,
DBCF,yeast1,-,keel,0.7688665938665938,0.0359948237261397,0.7191035100685251,0.0434536463084027,0.7212066182143528,0.0453249645837588,0.7199599102065888,0.044265293241889,0.7115312208701289,0.049864727543515,0.8066606155302416,0.0276531684860632,0.4402693458822527,0.088603052147114,0.6351519478028976,0.0369819143401317,0.7346367874591302,0.0400900444717833,0.4400350247885926,0.0885455852718734,26.236636010417715,7.778017385386765,
