Model,Dataset,IR,Source,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,GMean_mean,GMean_std,AUC_mean,AUC_std,MCC_mean,MCC_std,AUPRC_mean,AUPRC_std,IBA_mean,IBA_std,Kappa_mean,Kappa_std,Runtime_mean,Runtime_std
mdo,glass,-,keel,0.7906976744186046,0.0,0.6706349206349206,0.0,0.6567460317460317,0.0,0.6583333333333333,0.0,0.0,0.0,0.954334481238217,0.0,0.7133955042553908,0.0,0.8877575396511063,0.0,0.632500830792087,0.0,0.7072617246596067,0.0,0.038295599981211126,0.0
smom,glass,-,keel,0.7674418604651163,0.0,0.687091503267974,0.0,0.628968253968254,0.0,0.6499918540241122,0.0,0.0,0.0,0.9721681708391477,0.0,0.6751333496083947,0.0,0.9212757325152282,0.0,0.5774914803085985,0.0,0.6717557251908397,0.0,0.08103090000804514,0.0
soup,glass,-,keel,0.6976744186046512,0.0,0.7374999999999999,0.0,0.8149801587301587,0.0,0.7447478991596638,0.0,0.7822734209794107,0.0,0.9503525436355896,0.0,0.6183531986803371,0.0,0.8735583437741635,0.0,0.7883556259149573,0.0,0.5955137481910275,0.0,0.040211500017903745,0.0
mc_rbo,glass,-,keel,0.7674418604651163,0.0,0.6706349206349206,0.0,0.6289682539682541,0.0,0.6431818181818182,0.0,0.0,0.0,0.9336315225323846,0.0,0.681744008719764,0.0,0.7853096115532564,0.0,0.5931489789402351,0.0,0.6759608138658628,0.0,0.03587959997821599,0.0
mc_ccr,glass,-,keel,0.8604651162790697,0.0,0.8703703703703703,0.0,0.845734126984127,0.0,0.8515086206896552,0.0,0.7944859814932294,0.0,0.9605289864988141,0.0,0.8150300066644359,0.0,0.8619080611880857,0.0,0.8230290730396564,0.0,0.8070306656694092,0.0,0.03909109998494387,0.0
ocsv_us,glass,-,keel,0.3953488372093023,0.0,0.45382395382395385,0.0,0.3645833333333333,0.0,0.3638486312399356,0.0,0.0,0.0,0.7859008382356083,0.0,0.19536416605783277,0.0,0.5291253658374586,0.0,0.3123536588851783,0.0,0.18334550766983204,0.0,0.7483801000053063,0.0
shsampler,glass,-,keel,0.813953488372093,0.0,0.6787581699346404,0.0,0.6671626984126985,0.0,0.6688172043010753,0.0,0.0,0.0,0.9612395852338381,0.0,0.7429388606836923,0.0,0.8028059414643467,0.0,0.6437699332406973,0.0,0.7393939393939394,0.0,0.04840869997860864,0.0
mc_evhs,glass,-,keel,0.7441860465116279,0.0,0.8175925925925925,0.0,0.8373015873015873,0.0,0.8116153127917833,0.0,0.8115625398010615,0.0,0.954009875022806,0.0,0.6752889953271601,0.0,0.868818447477396,0.0,0.8124655194133847,0.0,0.653986832479883,0.0,0.08853529999032617,0.0
nromm,glass,-,keel,0.7674418604651163,0.0,0.8123338649654439,0.0,0.8025793650793651,0.0,0.8002244668911335,0.0,0.7504158448632352,0.0,0.9557769643617345,0.0,0.6948446942070189,0.0,0.8455703655134678,0.0,0.7748847954731062,0.0,0.6819526627218935,0.0,0.07849960000021383,0.0
orem_m,glass,-,keel,0.7674418604651163,0.0,0.6617647058823529,0.0,0.5560515873015873,0.0,0.577012056044314,0.0,0.0,0.0,0.9634323876421577,0.0,0.6724886034819423,0.0,0.8207735408678034,0.0,0.5191557357098331,0.0,0.6676970633693973,0.0,0.11475340003380552,0.0
glos,glass,-,keel,0.7674418604651163,0.0,0.6355042016806722,0.0,0.6011904761904762,0.0,0.609984639016897,0.0,0.0,0.0,0.9450334108739281,0.0,0.6815655337973734,0.0,0.8380524452629183,0.0,0.5573525914197096,0.0,0.6774193548387097,0.0,0.11892599996645004,0.0
